"Module" "Cluster" "Function" "Genes"
"M14.58" "A1" "Protein synthesis" "LOC220433, LOC641848, LOC643007, LOC643949, LOC645138, LOC648343, LOC649946, LOC651202, LOC651894, LOC653658, LOC653702, LOC653773, RPL14, RPL7, RPL7A, RPL9, RPLP1"
"M14.59" "A34" "TBD" "ACSBG1, BEND2, HOMER2, ITGB5, LOC653486, MGLL, MMRN1, MYLK, NT5M, PLOD2, SAMD14, SEC14L5, SELP, SPARC, SYTL4, TFPI"
"M14.6" "A3" "TBD" "AFG3L1P, AMT, CNTRL, DFFB, DHX37, DNAH1, ENGASE, GUSBP2, HEATR5B, HS.452445, ITPR1, LOC728499, LRP5L, MLLT10, NAA16, NFATC3, NRBP2, NUMA1, LTO1, PDE3B, TENT4A, RBBP6, RBM26, SNRNP70, SNX29, STX2, TSC22D2, TTC13, WDR19, TUT4, ZNF767P"
"M14.60" "A29" "TBD" "ATG10, CATSPER2, CHRNA5, DUSP19, FKBP14, GDPD1, GNB4, HS.544637, HS.560357, HSD17B7, KIAA0408, LOC648059, MBOAT2, MFSD11, SEMA3E, SPN, TRIM13"
"M14.61" "A2" "Protein modification" "ADRM1, AXIN1, CIAO1, CMPK1, GIMAP8, HSPD1, NCOR2, PPCS, SLC66A3, RAPGEF6, SACM1L, SUMO2, SUMO3, URM1, VDAC1, DCAF7"
"M14.62" "A32" "TBD" "ALCAM, ARFGEF1, ATP11B, DIPK2A, CAST, CD44, FOXN3, EPS15, FBXO30, HS.137971, NFXL1, OSBPL8, PCMTD1, RPGR, SMNDC1, SYNJ1"
"M14.63" "A24" "Oxidative phosphorylation" "ATP5PD, ATP5PF, ATP5MF, PLGRKT, CHCHD2, COX6A1, LOC646630, LSM3, MRPL33, NDUFA1, NDUFA13, NFU1, NUDT2, PSMD10, SNRPG, ACOT13"
"M14.64" "A1" "Cell cycle" "ADA, BZW2, CXXC5, DDX24, GPBAR1, IL32, LRIG1, MPHOSPH10, MRPL24, PEBP1, ECI2, TBC1D9, TLR7, TMEM109, VARS1, ZBTB4"
"M14.65" "A35" "Monocytes" "ATP6V0B, RAB5IF, CD14, CLIC1, CYBA, EFHD2, EVI2B, FTH1P7, GNS, IFNGR2, ITGB2, RAB7A, S100A4, SMAP2, TSPO"
"M14.66" "A33" "Inflammation" "BID, BTBD10, RESF1, VCPKMT, ACAP2, DDX3X, FBXO11, MFSD14A, MAP4K4, NEDD9, NSMAF, PRKAR1A, RAB21, SNX13, TOR1AIP1, UBE2W"
"M14.67" "A32" "Gene transcription" "AFTPH, C18ORF32, EAF1, FLI1, GPBP1, GPBP1L1, HERPUD2, HHEX, TAB2, PMAIP1, SAP30L, SAR1A, SLBP, SP3, TANK, TDP2"
"M14.68" "A38" "Protein synthesis" "ARF1, ARL6IP1, ATP6V1D, BIRC2, NDUFAF3, CETN2, COPS3, DYNLL1, EPN1, FDFT1, GHITM, HSPB1, MAP1LC3B, TAX1BP1, TPRG1L, YIPF3"
"M14.69" "A1" "Gene transcription" "ACAD11, ARL16, BAG3, METTL26, CD83, CCSER2, MRPL40, PDCD4, PDS5A, PHB1, POMGNT1, PPRC1, PRPF19, OBI1, SERGEF"
"M14.7" "A35" "TBD" "BATF, CPEB3, DHRS12, TYMP, FBXL5, FKBP15, FLJ40448, GADD45A, GPR108, IPO11, JAK2, LOC255809, MFN2, MLKL, NEU1, PDZD8, PGM2, PHTF1, POR, RAB1A, RIN3, RIT1, SLC24A4, SLC36A1, SLC40A1, SLC9A8, TBC1D8, TFE3, TMEM185B, UNC13D, WSB2"
"M14.70" "A26" "TBD" "ATOX1, NAIF1, CTSC, DUS2, GCC1, KDELR2, KIAA1160, MTMR14, NUDT3, PRELID1, SCNM1, STYXL1, TAF12, TIPARP, TMEM167A"
"M14.71" "A1" "Gene transcription" "BCAS4, MORC2-AS1, HOXB2, HSD17B8, LBH, LIPT1, LOC202134, OXNAD1, CLUHP3, PGAP3, SMYD3, TC2N, TMEM14A, WDR74"
"M14.72" "A2" "TBD" "AARS1, AIP, AKR1A1, KANSL2, GNL2, IDH3B, MED30, TMT1A, NAA20, NDUFS4, SBF1, SYPL1, TMEM126B, UFC1, ZGPAT"
"M14.73" "A32" "TBD" "ABHD8, ATP2A3, ATP6AP1, ENKD1, DCUN1D3, LOC90835, LRCH4, PIAS4, RNPEP, SCYL1, SIPA1, TMUB2, TRABD, UNC119, VPS16"
"M14.74" "A35" "TBD" "BAZ1A, CCPG1, CD53, CD58, CKLF, ASAP1, DENND10, GLRX, MARCKS, MOSPD2, RHOT1, RNASEL, TLE4, YIPF4"
"M14.75" "A1" "Protein synthesis" "SNHG32, COMMD6, DPH5, EIF3E, EIF3H, NOP53, HINT1, LOC285176, LOC387867, LOC400963, LOC644039, LOC728973, RPL15, NSA2, UXT"
"M14.76" "A33" "Leukocyte activation" "ATXN1, CD93, AGO4, FAM8A1, HSPA6, MAP2K4, MOSPD2, PECAM1, PPP4R1, RAB11FIP1, SKAP2, SLC12A6, SPOPL, TNFSF14, BLTP3B"
"M14.77" "A1" "Gene transcription" "CCDC86, ELOVL4, FBXO4, HSZFP36, INPP4B, LCMT2, MBIP, NFATC3, PDCD2L, RRP1B, RRS1, SLC25A15, TPD52, TRIM32, ZSCAN2"
"M14.78" "A3" "TBD" "ATP6V1E2, BAG5, BIVM, CBY1, DHX38, CSRNP2, KIFBP, METTL4, TBCK, PANK4, POLR3B, RDX, USP6NL, ZBED4, ZBTB21"
"M14.79" "A2" "Protein synthesis" "BOLA2, ABRACL, CCNH, CD164, GIMAP7, GPKOW, IFP38, LSM5, MAFF, NAT13, NXT2, PTMA, RNASEH2B, TXNDC9, TXNL1"
"M14.8" "A2" "TBD" "ACAA2, ASTE1, BLMH, RPF1, URI1, C6ORF190, CCT3, CNPY4, CRY1, GOLT1B, METTL23, LOC644131, LTV1, MAPKAPK5, MBNL2, MRPL10, MRPL16, MRPL24, MTR, NNT, OCIAD2, P2RY10, RBBP7, SEPTIN11, SH3YL1, SLAIN1, TATDN1, TMEM106B, TTC27, UFSP2"
"M14.80" "A1" "Protein synthesis" "FAU, HLA-DRA, LOC388532, LOC388621, LOC391656, LOC731640, PFDN5, RPL27A, RPL31, RPS15A, RPS3A, RPS6"
"M14.81" "A31" "Platelet" "MCUR1, CD9, DAB2, LINC01011, ENDOD1, FRMD3, CXCR2P1, LOC645128, LOC653635, MEIS1, MGC13005, TPM1, TSC22D1, TUBA3D"
"M14.82" "A33" "Cytokines/chemokines" "ARHGAP11A, ATXN1, CCDC89, HOXB1, IL15, LOC641992, LPIN2, LY6H, MED13L, MED8, MTHFD2, NANS, PSORS1C1, RGMA, SPATA2L"
"M14.83" "A25" "TBD" "APOBEC3F, CCNC, FAF1, HAT1, LOC652826, MDFIC, MGAT2, MRPL45, PLEKHF2, RBM4, SRP9, TAF9, TCP1, THAP1"
"M14.9" "A32" "TBD" "ABCC5, ARID3B, RUBCNL, MIDEAS, CD44, CIR1, DDIT3, GTF2IP1, MACROH2A1, INTS3, TMEM131L, KRAS, MKNK2, NFYC, NSFL1C, OSBPL11, PRKCB, RAB5A, RBCK1, RSBN1L, SNN, SNX6, TMUB2, TOPBP1, TOR1A, TP53INP1, UBE4A"
"M15.1" "A6" "TBD" "ABCB7, ACADM, PLIN2, ADHFE1, APIP, BARD1, BAZ1B, WDR11, GATD3, IDNK, TACO1, RRP7A, CKS2, CNNM3, CTLA4, DCTN6, DGUOK, DIP2A, DNAJC15, DSTN, EBP, FYN, GNB5, HS.279842, HS.536451, IKBKE, ILKAP, LEO1, LMBR1, LOC197135, LOC388692, LOC642197, LOC653080, LOC654191, MAN2C1, MED19, MLH1, MRPL13, MRPL42, MRPL43, MRPL52, N4BP2L1, NAPB, NFATC1, NNT, OAF, PAFAH2, PHF19, POLR3K, PSMA3, PSMB5, PTBP2, PTCD1, PTS, RAP1GDS1, RECQL, RFC5, NEMF, SDHA, SEC31A, SERPINE2, SETDB2, SLC11A2, SLC30A5, SNUPN, SRI, SS18, SS18L1, STK36, TBC1D7, TEX2, TOMM34, TOP3B, TSPAN14, TSPAN18, U2AF1L4, WDR70, ZBTB17, ZNF589"
"M15.10" "A6" "Gene transcription" "ALKBH5, ARHGAP25, ARHGEF6, ATP6V1G1, BCKDK, CAPN1, ADAP1, CFD, CGGBP1, CLCN7, DDB1, FXYD5, HDAC1, LFNG, LGALS1, LOC400948, LOC651064, LTB, LYSMD2, MAP3K1, MATR3, MBNL1, RNASEK, PCNP, PDCD10, PDCD4, PI4KA, PIM2, PPP1CC, PRDX1, PRDX5, PSMB8, RASGRP2, RBL2, RDH11, SEC14L1, SRSF5, SGK1, SNRNP70, SPOP, SQSTM1, STX16, SUZ12, TBC1D10C, THOC7, TMEM123, TUBA4A, UBL5, VAMP8, XBP1"
"M15.100" "A37" "Erythrocytes" "ARHGEF12, BBOF1, CISD2, CMBL, FLCN, GCAT, GYPE, HBBP1, LOC253012, PCSK1N, PLVAP, RHD, SLC6A9, SPTB, TBCEL, TLCD4, YPEL4"
"M15.101" "A3" "TBD" "ANKRD16, CCDC136, CDK20, CIITA, EDAR, FMNL3, CCDC191, MSX2P1, NGDN, OR2A9P, PI16, RAD17, SFT2D3, ZBTB25, ZIK1, ZNF239, ZNF540, ZSCAN21"
"M15.102" "A10" "Prostanoids" "ALOX15, CACNG6, CCL23, CLC, EMR4, PTGDR2, IL5RA, IDO1, OLIG1, OLIG2, PMP22, PRSS33, SIGLEC8, SLC29A1, SMPD3"
"M15.103" "A24" "TBD" "APEX2, APH1A, EMP3, GTF3C5, KEAP1, MAGOH, MRPL49, MRPL55, OGDH, PCK2, PFN1, PPP1CA, SHC1, NHERF1, SURF4, TTLL12, VPS72"
"M15.104" "A33" "TBD" "CBX3, ESPL1, EVI2A, FGFR1OP2, FTH1P11, FTH1P12, FXN, GLUD2, LHX6, MID1, MYH4, NNMT, PDE8A, RAB35, RNF167, SEPHS2, TRIM49"
"M15.105" "A35" "Inflammation" "ATP6V0E1, ATP6V1E1, RTF2, CHIC2, CHMP2A, FGGY, LAMTOR5, HCLS1, LILRB2, MAP3K3, MTX1, OAT, PSMB3, SRGN, TALDO1, TYROBP"
"M15.106" "A32" "TBD" "CLOCK, GSDMD, HS.439692, LMNA, LOC286016, LRWD1, NEDD4, PPM1F, PRKDC, PRR14, SH2D5, SH3GL1, SLC26A11, SLC26A6, TPCN2, UBE2J2, WDR41"
"M15.107" "A15" "TBD" "ALDOB, AMD1, AP1G1, CDK5RAP3, DDX17, DHX9, GNAQ, HS.397465, HS.544145, LOC644931, KMT2C, NFAT5, PAG1, PDIA3P1, PI4KAP1, SF1, SNX1"
"M15.108" "A33" "TBD" "ANKS1A, ARK2N, NDUFAF7, CCPG1, DOCK11, ELMOD2, LONRF1, MYNN, NFKB1, PECR, PPP1CB, PRDM10, RMI1, SERPINB8, TESK2, TRIM33, KDM6A"
"M15.109" "A35" "Inflammation" "C9ORF72, CR1, CREB5, DGAT2, FCGR2A, CCNJL, GNG10, IL1RN, IL6R, LOC552891, LOC650546, NAMPT, P2RY13, SDCBP, TLR8, TNFRSF10B, WDR52"
"M15.11" "A6" "TBD" "ABHD10, ALKBH1, ANKRD28, ANXA2, ASMTL, ATG5, BMPR2, NKAPD1, AAMDC, MUL1, COA6, CYREN, CALU, CSPP1, DAAM1, DTD1, DTNBP1, GBF1, MLST8, GDAP2, HS.567759, HS.60257, KCTD9, LSM8, MBD1, HINFP, PARP11, PBRM1, PDS5B, PGM2L1, PNPLA8, POLR2D, PRPF38B, PSME1, RPL28, RSRC2, SEMA4F, SFXN4, SLC37A1, SLC38A9, SNX1, SUGT1, SYNE2, TCF20, TTC33, TTC5, UQCR10, USP48, WDR7"
"M15.110" "A27" "Cell cycle" "AURKA, CCNF, CENPN, FEN1, GGH, KPNA2, MAD2L1, MCM2, NUSAP1, PHGDH, PLK4, PRC1, PTTG1, PTTG3, STIL, STMN1"
"M15.111" "A33" "TBD" "FAM209A, CD59, CDK5RAP2, DOK4, PPM1N, FLJ45445, FOSL2, HS.545112, INSL3, LOC399715, MITF, PPARG, NECTIN2, SCAMP4, SMPDL3A, TREML4, TRIM9"
"M15.112" "A26" "TBD" "APITD1, ATP1B2, CSE1L, DHCR7, GRM2, HLA-DRB6, IRF5, MED27, MED8, IPO5, SLC43A3, SUPT3H, SYT15, TES, TTC9C, ZNF280D"
"M15.113" "A35" "Inflammation" "AATK, BMX, DNAH5, FUT7, GALNT14, HS.246177, IL1R1, TECPR2, KAZN, LOC728744, MAPK14, NAIP, RAB20, RASGRP4, SOCS3, ZDHHC19"
"M15.114" "A1" "TBD" "ANGEL1, SNRNP200, C22ORF32, TMEM8B, DHX30, EPHX2, FBXL16, GPSM1, HS.348844, RPL37, SFI1, URGCP, ZNF134, ZNF260, ZNF500, ZNF558"
"M15.115" "A2" "TBD" "ACVR2A, BPTF, OBI1, GATD3, CACNA2D4, DLAT, ESRRAP2, GK5, HS.551137, IL16, LPAR1, PALLD, PHF14, SCRN1, TAF1B, WDR12"
"M15.116" "A2" "TBD" "ATMIN, WDR11, MTRFR, RIOX1, EXOSC9, FCRL3, GLT8D1, GTPBP8, HSPA4, INTS2, NIPA1, PRMT6, MAK16, SBDS, SREK1, TAF1B"
"M15.117" "A25" "TBD" "BTN3A2, CRLF3, VOPP1, HDGF2, IDH1, LOC147804, LOC401238, LOC653450, MAPKAP1, KMT2C, NDRG3, NGRN, PPFIA1, RBM4, RNF135, SIRT7"
"M15.118" "A36" "Gene transcription" "ARF4, DLEU1, HIST3H2A, IFT52, KLF3, MAX, MBOAT2, MT1E, PPME1, SPTA1, UBE2H, UBFD1, VTI1B, ZNF23"
"M15.119" "A2" "TBD" "SMG9, CDCA7L, CTBP1, EI24, HS.558212, LOC643790, MRPS34, GAR1, NR2C1, PINX1, SLC12A2, TARBP2, TMEM41A, TSR1, TULP4, USP14"
"M15.12" "A33" "TBD" "ADORA2A, AGPAT1, ARF1, ARMC7, ATP2A3, ATP6V1H, AZI2, B4GALT1, BIRC2, C17ORF91, CAMK1D, CASZ1, CDC42EP4, ARAP2, CIC, COPG1, DCTN4, CRACR2B, GATAD2B, POLR2M, HIF1A, UBE2K, HS.483906, HS.550193, ILK, KCTD13, KLHL21, KPNA1, MGAT4B, NAB1, NLRP3, OTUD1, PHF20L1, PRMT5, RAB37, RELB, RILP, SERTAD1, SLC44A1, SPAST, STRN, TMEM184B, TOP1P2, TP53INP2, TTYH3, WTAP, ZNF692, ZRANB1"
"M15.120" "A2" "TBD" "NDUFAF4, CCDC28B, CHCHD7, GFOD3P, LOC137107, PBX4, PNOC, PNRC2, CARMIL2, RPL23AP13, SIRPG, SNORD68, TMEM50B, DCAF4, ZNF280C, ZNF627"
"M15.121" "A31" "TBD" "AP3D1, BUD31, CPNE1, FCHO1, H3-3A, ITM2B, LOC440926, MTPN, NFKB2, NOMO2, PARVG, SAMD4B, SUPT4H1, WAS"
"M15.122" "A2" "TBD" "SDHAF3, AHNAK, SMIM12, NDUFAF5, HNRPUL2, HSP90AA1, LOC648000, LOC653226, OCIAD1, OXR1, SRSF3, SLC35B3, SRP9, THYN1, TOMM70"
"M15.123" "A24" "TBD" "ACAD9, BAK1, CBR1, CMTM7, CALHM1, KBTBD4, LOC728739, MRPS33, NEDD8, PDRG1, PMVK, PTPN2, PTS, SNRPB, UTP18"
"M15.124" "A3" "TBD" "ALKBH8, CDK11A, ELF2, GPRIN3, HS.135282, IKZF3, BRD10, N4BP2, RNF157, ARK2C, SCML1, TRIM52, WDR73, ZNF234, ZNF644"
"M15.125" "A12" "TBD" "TEX30, FGA, HDGF2, HUWE1, ITGA3, LSM12, NT5DC3, PAX7, PSMD5, RWDD2B, SCN3A, SIPA1L3, SULT2B1, TEX261, PEDS1-UBE2V1"
"M15.126" "A17" "Gene transcription" "ARPC4, CACYBP, CALN1, CLK3, CRHR1, FZD7, GPR27, HS.560726, LOC645362, CIAO3, PCBP1, RBBP4, SEMA6B, TBC1D20, ZC3H18"
"M15.127" "A28" "Interferon" "CMPK2, HS.125087, HS.386275, IFI27, IFIT1, IFITM3, LAMP3, LOC26010, OAS1, OAS2, OASL, OTOF, SERPING1, TRIM6"
"M15.13" "A33" "TBD" "ATP6V0B, BRSK1, C15ORF39, NEPRO, CARS2, CASC3, CLDN14, CTSC, CYB5R1, DHX40, ERGIC2, GABARAP, GMPR2, GPR137, HEBP1, IP6K1, ITPK1, ATOSB, LOC255783, LOC644739, LRSAM1, MAX, METRNL, MNT, MTHFS, NCOA1, NEDD9, NOTCH2, PAK1, PAPSS1, PHKA2, PLCB2, PPFIA1, PRKCB, REC8, RN7SK, SEC14L1, SEC22B, SLC39A1, SRXN1, ST3GAL6, STAT3, SULF2, TMBIM1, TMEM97, TNFAIP3, VCP, ZC3H3"
"M15.14" "A33" "TBD" "ABCG1, SDHAF3, ADD1, ARHGAP27, ARSA, ARSB, C5, LSMEM1, DOCK8-AS1, CCNG2, CDKN2C, COTL1, CYB5A, DACH1, ST13P7, FLJ20021, LINC00173, GBGT1, GFOD2, GK2, GRIPAP1, HS.122456, HS.282800, HS.308073, HS.490981, HS.564874, IER2, LEPR, LRP3, MANBAL, MXD3, NHSL2, OSGIN2, PCTP, PRKCZ, RFP, RILPL1, RNF141, RUNX2, SBF2, SIGLEC9, ST3GAL2, TLE4, TMEM127, TMEM165, TTC32, ZMYND15"
"M15.15" "A6" "TBD" "ARRDC2, ASCC1, ASCL2, BRPF3, CTC1, MYDGF, RTCB, MAIP1, TRAPPC11, CAST, CCS, DDX55, DGKQ, DOK2, FKBP3, FLAD1, GCN1, IDH2, IKBKB, INPP1, INTS1, IRF3, LASS5, LHPP, NPIPB15, LOC440354, NRROS, MS4A7, NMRAL1, NUDT16L1, JADE1, PIGF, PPP1R7, RHOC, RPN2, SRSF11, SGK3, SUPT5H, TAGAP, TRAPPC6B, TRIM68, TSR2, UQCR10, ZMIZ2, ZNF671, ZSWIM1"
"M15.16" "A3" "Antigen presentation" "ALKBH2, ARHGEF19, ARMCX2, BCKDHB, BCL9L, UTP25, CACNA1I, CCDC120, CD83, CLYBL, CNTNAP2, CYCS, DUS1L, EIF2AK3, EPHA1, EPHA4, RETREG1, FBLN5, FCRL3, AMER1, HIP1R, HS.446266, HS.513971, HS.556255, HS.567469, HS.567472, IFT57, IL23A, LOC116236, LYRM4, MEN1, MTMR15, PDE9A, PIGP, POLR1E, PPP1R13B, PUS1, TMEM18, TRAF5, TUBGCP5, ZMYM3, ZNF232, ZNF30, ZFP82, ZNF823"
"M15.17" "A22" "TBD" "ABCD4, ACPT, ARPC2, BRI3BP, UMODL1-AS1, C9ORF62, CAMK1G, CHX10, CRISP2, DEFB123, FGFBP3, FMO2, FZD1, GREB1, NSG2, HOXA6, HOXC6, HS.141883, HS.246334, HS.446301, HS.529324, HS.537603, HS.570460, HS.581580, HS.583642, IGFL3, IGSF11, IDO2, KCND3, LOC441136, LOC642691, LOC644922, LOC650683, LOC653464, MGC57359, PLK1, RBMX2, RBPJL, RNF39, S100A1, TNFRSF9, TTC7B, VN1R2, ZSWIM4"
"M15.18" "A32" "TBD" "AHCYL1, AKNA, ANXA5, ARCN1, ARF5, ARHGAP1, ARHGAP30, ARHGAP4, ARHGEF2, CDKN1B, CWF19L1, DAD1, DBNL, DCTN3, ENO1, FOXJ2, HNRNPUL1, ILK, KLF13, LMBRD1, LMO4, LSM14A, MRFAP1, PPM1B, PPP1R11, PSMD4, PUM2, RAC1, RASSF5, RBM5, RPN1, SEC24C, SF3B14, SIAH1, SNRK, SPG11, TGFBR2, TINF2, MMGT1, TRAPPC1, WAC"
"M15.19" "A6" "Gene transcription" "ACACB, AQR, ARFGAP1, SND1-IT1, COIL, CPSF2, CPT2, CRYZL1, CSNK1G1, DDX19A, DKFZP586I1420, EDEM1, FAM153B, FAM39DP, GABBR1, BICRA, GRAMD4, HS.445414, HSPA5, INSIG2, IPO8, IWS1, LOC648638, LOC652685, LCLAT1, MAPK9, WASH2P, NPHP3, OFD1, OSBPL5, PHKB, PRRC1, RAB11FIP2, SLC25A23, ARHGAP33, SNX30, SPATA20, SURF6, TPMT, UBA6, DCAF5, ZNF18, ZNF25"
"M15.2" "A6" "TBD" "AATF, ADARB1, ANKRD10, ARPP19, CALR, CCT3, CD99, DCAKD, DCTN1, DHX29, EIF3A, FAM20B, FUCA1, GUSBP2, HCFC1R1, HERC1, HS.568928, HS.570988, HSPA9, ITPKB, KCTD20, MLEC, GSE1, LOC653566, LOC729317, M6PR, MBTPS1, MMS19, MRPL17, MRPL23, NCOR2, NDRG3, NME1, NUP85, RPRD1A, PABPN1, PCSK7, PRDX4, PRPF31, PTDSS1, RAP2A, RNF20, RSU1, PPP6R3, SAT2, ENTR1, SDF4, SEC31A, SECISBP2, SLC39A3, SND1, TARS1, TFG, TMED2, TMED4, TMED7, TMEM101, TRIM44, UCKL1, VRK3"
"M15.20" "A32" "TBD" "ADAM15, ATP6V0A1, BID, BST2, BRAT1, CAPNS1, CCNL1, CD300LF, CEP63, CHST7, CLK1, CNOT8, CNPY3, CUGBP2, RAMAC, GALK1, GLA, GNA13, LCOR, LOC643319, LOC653506, LPCAT1, MED16, MGST2, MOB3C, NAPRT, NPEPL1, PATL1, PBX2, PGK1, PSMB8, RTN4, SAFB, SF3B14, SLC27A3, SPINT2, TAP2, TIA1, TPM3, TRPC4AP, WARS1"
"M15.21" "A2" "Gene transcription" "AAMP, ATRIP, SPDL1, CDAN1, DAG1, DEPDC5, DET1, DUT, SHLD2, FAM50B, GATAD1, NOP16, CILK1, EMC1, LARP1B, RTL6, LOC143543, C2orf74, MTAP, NAA15, NFE2L3, NFX1, NOP14, SIGMAR1, GATB, PKD2, PLPP6, PREPL, SLC25A12, SLC35F2, TBC1D9B, TIGD5, RNFT2, POLR1F, UPF3B, WDR12, WDR77, WRN, ZMYND19, ZNF175, ZNF480, ZNF792"
"M15.22" "A6" "TBD" "ABI2, ACACA, ANKRD37, ARHGAP10, NDUFAF5, MPLKIP, YAE1, NTAQ1, NDUFAF6, CCDC107, CCT4, CCT5, CDC7, DSN1, FAM135A, HAX1, HS.126889, INVS, KIAA0562, LOC653147, MRPL35, MYL5, NARS2, PAQR3, PIN4, PNO1, POLDIP2, PUS7L, RBM28, RFX7, SFPQ, THAP1, TMEM64, TRDMT1, USP13, YES1, ZCRB1, ZNF140, ZNF383, ZNF430, ZNF680, ZNF684"
"M15.23" "A2" "Cell death" "ADSL, AIFM1, AMMECR1L, ASXL1, ATF5, ATP13A1, ATP5MC1, ATPAF1, B4GALT7, FAAP20, KYAT1, FANCE, FBXL6, FCSK, GCDH, LOC402694, LOC647361, LSM2, MADD, MFSD3, HINFP, MRPS18A, NDUFB2, NDUFS7, PARD6A, PIGU, PRKRIP1, PRPSAP2, PSPC1, RAPGEF1, RPS15A, RPS9, SEC61A1, SLC25A19, SLC2A8, SLC37A4, SNAPC2, TARBP2, ZBTB45, ZKSCAN2, ZNF358"
"M15.24" "A33" "TBD" "AGPAT2, ASAH1, ATP6V1C1, MILR1, C7ORF25, ZNG1E, CCDC88B, CDC42EP3, CITED4, CSTA, CYRIA, FAS, FSCN1, GHRL, JPT1, HS.188979, KDM6B, KIAA0232, LAPTM4A, LOC285550, METRNL, MLKL, MR1, NUP98, OSBPL2, PCGF5, SEC24D, SLC16A6, SLC19A1, SLCO3A1, STK3, TIMP2, TSHZ3, TMX4, UBQLN1, UBTD1, MAP3K20, ZFYVE16, ZMAT5, ZNF20, ZNF93"
"M15.25" "A4" "TBD" "ARIH2, MANF, BSCL2, BTG2, BTN3A1, RMC1, RSRP1, SMIM14, CBX7, CCDC92, CDC16, CEPT1, CNDP2, COX19, DOP1B, DUSP6, EIF5A, FAM110A, FAM39DP, FAM3A, GSTM1, GSTM2, ARHGAP45, JAK1, LOC338758, LOC613037, LOC730994, MS4A7, MYO1G, NAP1L4, PARL, SF3B2, SLC20A1, SPG7, STRAP, TFRC, TNRC6B, TSPAN17"
"M15.26" "A35" "Neutrophils" "ATP8B4, CDK5RAP2, CEACAM3, DSE, EGLN1, FKBP1A, GADD45B, GDPD3, GPR160, HPSE, IDI1, IL1RAP, KLHDC8B, LBR, LGALS8, LOC201175, LOC651143, LOC654053, MAEA, MCL1, FAR2, MTF1, PDLIM7, PIK3AP1, PLAUR, PPP1R12A, PREX1, RAB27A, REPS2, RHOT1, RNASEL, RP2, SIRPB1, SPOPL, TLR4, TPD52L2, TRPM6, VASP"
"M15.27" "A6" "Cell cycle" "ACBD6, ASPHD2, ATF1, ATMIN, ATP2C1, RNLS, AKIP1, C12ORF43, DNAAF2, TSR3, PAXBP1, ARMT1, CASP7, CHST14, EMC8, DUS4L, FCRLB, GBP3, GFPT1, GTF2H1, HS.580229, IDE, KMO, PM20D2, RAB40B, RECK, RPS26P10, SDHAP1, SEC24A, SSRP1, STARD3, THUMPD1, TUBD1, UAP1, UTRN, VEGFB, WDR33, WEE1, ZNF484, ZNF565"
"M15.28" "A24" "Oxidative phosphorylation" "APBA3, ATP2A2, TIMM29, TMEM230, COX4I1, CSNK2B, CSRP1, DYNLRB1, EIF4A1, ELOVL1, FBXW5, GANAB, TMEM208, IDH3G, IRAK1, LOC148915, LOC339344, LOC440567, UBXN1, LOC653147, LOC730534, NDUFS5, NUDT22, PITPNB, PRCC, PSMB4, IFT27, RIC8A, SDHC, SLC25A3, SLC35D2, SNX17, SURF1, TRAPPC3, VPS26B, VPS4A, ZNHIT1"
"M15.29" "A1" "Cell death" "ATP1A1, ATP5F1D, BIRC3, MCUB, CEBPZ, CYB5B, PCED1B, GVINP1, HDDC2, HLA-DRB3, HLA-DRB6, HSPD1, IRF8, LAT, LOC387841, LOC642817, LOC643287, LOC645385, LOC648210, LOC650369, MRI1, NAPSB, NOP56, NUP88, PARP1, PIK3IP1, RALGDS, RWDD1, SNRPB, SNRPN, SSBP1, SUMF2, UBE2Q2, WDR6, WDR82"
"M15.3" "A2" "Gene transcription" "ACSS1, ADAM7, ANG, ANKMY2, ANKRD55, PYROXD2, HIKESHI, XXYLT1, TOMM5, CACNA2D3, CCL3L3, CHORDC1, CMAHP, CXCR3, DHRS4, EAF2, ENPP4, EEIG2, ABHD17AP1, EEF1AKMT3, FLJ11795, FLJ43093, GLRX2, GRHPR, GZMM, PUDP, HGD, HS.31532, HS.552082, HS.568741, DENND11, LOC389672, LOC647037, LOC728635, LOC731950, LYSMD4, MGC57346, MS4A14, MYB, NCR3, NSMF, NFKBIE, NUDT18, OSGEP, ECI2, PSMD10, RDH14, SLC25A4, STT3B, TADA1, TFPT, YEATS4, ZBTB16, ZNF142, ZNF274, ZNF593, ZNF615"
"M15.30" "A32" "TBD" "ATP11B, CARD8, DAPK1, EEPD1, FBXO34, FOXN2, GMCL1, HERC4, HS.46506, HS.535028, IQSEC1, VIRMA, BRD10, KLF6, KLHL12, MBP, MED23, RPRD1A, PRKAB1, RGS14, SENP2, KMT5A, AKAP17A, SNX16, STAG1, TGFBR2, TMEM55B, TRIM27, TRIM33, VAV3, WDR37, WDR44, ZNF200, UBR3, ZNF701, ZXDC"
"M15.31" "A2" "Protein modification" "ACP1, ADK, IFT25, CBLB, KYAT3, CCT7, CLEC2D, CSE1L, CYB5A, S1PR1, EIF1AX, ERCC1, EXOSC1, RMDN3, GOT2, HNRPH1, HVCN1, ID3, ATG14, LOC346950, MRPL21, MRPL55, NUCB2, PCMTD2, PCNA, PHB2, PPP3CC, REV1, RRM1, SESN1, SYPL1, TIMM23, USP5, XRCC6, ZSCAN18"
